id,rate
34007,7
34011,1
34013,14
34015,1
34017,7
34019,4
34021,7
34023,20
34025,13
34027,4
34029,8
34031,9
34035,3
34037,1
34039,5
35001,7
35005,3
35013,6
35025,1
35031,2
35035,2
35045,1
35049,5
36001,25
36003,3
36005,17
36007,2
36013,3
36015,2
36019,2
36021,1
36027,4
36029,22
36031,1
36035,2
36037,1
36043,3
36045,3
36047,46
36055,17
36059,24
36061,84
36067,12
36069,3
36071,6
36077,2
36081,19
36083,2
36085,16
36087,5
36089,2
36091,3
36093,2
36103,22
36109,3
36111,1
36119,12
36121,3
37001,4
37019,1
37021,10
37023,2
37025,2
37029,1
37037,2
37041,1
37049,3
37051,6
37057,3
37063,14
37065,6
37067,5
37071,4
37077,1
37081,10
37083,2
37089,2
37097,2
37119,11
37125,3
37129,3
37159,2
37161,1
37183,18
38015,4
38017,8
38021,1
38035,2
38059,1
38101,4
38105,2
39003,1
39007,1
39015,1
39023,3
39025,1
39027,3
39029,2
39033,1
39035,32
39037,2
39041,4
39043,2
39045,4
39049,23
39053,1
39055,1
39057,5
39059,2
39061,20
39083,1
39089,4
39093,1
39095,13
39099,6
39103,2
39113,6
39119,5
39133,3
39145,1
39151,7
39153,1
40013,4
40027,2
40037,1
40069,1
40101,1
40109,20
40137,1
40143,7
41001,1
41003,4
41005,4
41011,2
41013,4
41019,1
41029,14
41035,3
41039,8
41041,1
41047,5
41049,1
41051,25
41061,1
41065,1
41067,3
41071,4
42003,29
42007,1
42011,6
42013,4
42015,2
42017,8
42021,1
42027,1
42029,7
42035,1
42039,1
42041,9
42043,6
42045,9
42047,1
42049,5
42051,1
42053,3
42055,2
42059,1
42063,2
42069,3
42071,5
42075,1
42077,14
42079,9
42081,3
42085,1
42087,1
42091,8
42093,3
42095,1
42101,43
42107,3
42119,3
42121,1
42123,2
42129,2
42133,2
44003,2
44005,1
44007,14
45001,6
45003,2
45007,2
45013,2
45015,2
45019,11
45025,1
45031,5
45043,1
45045,11
45051,4
45057,5
45059,1
45077,1
45079,13
45091,3
46003,1
46013,2
46083,2
46093,7
46135,2
47003,1
47017,1
47019,3
47035,2
47037,19
47065,10
47073,6
47075,2
47087,1
47093,8
47117,1
47125,1
47129,1
47149,2
47157,14
47187,1
48001,1
48005,2
48027,4
48029,41
48037,1
48039,2
48061,6
48085,1
48091,1
48113,47
48121,1
48135,1
48141,2
48143,2
48157,3
48167,1
48171,2
48181,1
48183,3
48187,3
48201,76
48215,8
48221,1
48235,2
48245,3
48303,6
48309,5
48321,1
48323,2
48329,3
48339,2
48349,1
48355,3
48367,1
48375,3
48423,4
48439,15
48441,5
48449,2
48451,1
48453,16
48469,2
48491,2
49003,2
49011,7
49013,1
49021,2
49035,25
49045,1
49049,5
49053,3
49057,2
50005,1
50007,7
50017,1
51003,9
51013,3
51015,1
51019,4
51023,4
51036,1
51041,3
51047,5
51059,13
51069,5
51083,1
51087,9
51095,1
51107,3
51121,2
51153,5
51161,4
51165,3
51197,1
51550,3
51650,1
51700,1
51710,8
51760,6
51810,1
53005,4
53007,6
53011,5
53025,1
53029,2
53033,37
53035,5
53053,16
53055,2
53057,1
53061,5
53063,12
53067,3
53071,2
53073,5
53077,6
54001,1
54003,1
54009,2
54011,5
54039,8
54061,3
54083,1
55003,1
55009,4
55015,1
55017,3
55019,2
55025,12
55027,3
55031,1
55033,6
55043,1
55045,1
55057,1
55059,1
55063,10
55073,4
55075,2
55079,20
55081,1
55087,7
55089,1
55101,4
55105,4
55117,2
55127,1
55133,4
55139,2
56021,4
56025,1
56037,1
66010,2
72013,1
72021,5
72023,2
72033,2
72069,1
72091,1
72097,1
72113,2
72127,4
78010,2
78030,1
